Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
6/1/2018,COD,84930565,Haut-Katanga,Kambove,current,8/1/2018,6/30/2019,3,46672,0.05
6/1/2018,COD,84930565,Haut-Katanga,Kambove,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Haut-Katanga,Kambove,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Haut-Katanga,Kasenga,current,8/1/2018,6/30/2019,all,398153,1
6/1/2018,COD,84930565,Haut-Katanga,Kasenga,current,8/1/2018,6/30/2019,3+,19908,0.05
6/1/2018,COD,84930565,Haut-Katanga,Kasenga,current,8/1/2018,6/30/2019,1,159261,0.4
6/1/2018,COD,84930565,Haut-Katanga,Kasenga,current,8/1/2018,6/30/2019,2,218984,0.55
6/1/2018,COD,84930565,Haut-Katanga,Kasenga,current,8/1/2018,6/30/2019,3,19908,0.05
6/1/2018,COD,84930565,Haut-Katanga,Kasenga,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Haut-Katanga,Kasenga,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Haut-Katanga,Kipushi,current,8/1/2018,6/30/2019,all,310709,1
6/1/2018,COD,84930565,Haut-Katanga,Kipushi,current,8/1/2018,6/30/2019,3+,6214,0.02
6/1/2018,COD,84930565,Haut-Katanga,Kipushi,current,8/1/2018,6/30/2019,1,164676,0.53
6/1/2018,COD,84930565,Haut-Katanga,Kipushi,current,8/1/2018,6/30/2019,2,139819,0.45
6/1/2018,COD,84930565,Haut-Katanga,Kipushi,current,8/1/2018,6/30/2019,3,6214,0.02
6/1/2018,COD,84930565,Haut-Katanga,Kipushi,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Haut-Katanga,Kipushi,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Haut-Katanga,Sakania,current,8/1/2018,6/30/2019,all,245820,1
6/1/2018,COD,84930565,Haut-Katanga,Sakania,current,8/1/2018,6/30/2019,3+,0,0
6/1/2018,COD,84930565,Haut-Katanga,Sakania,current,8/1/2018,6/30/2019,1,132743,0.54
6/1/2018,COD,84930565,Haut-Katanga,Sakania,current,8/1/2018,6/30/2019,2,113077,0.46
6/1/2018,COD,84930565,Haut-Katanga,Sakania,current,8/1/2018,6/30/2019,3,0,0
6/1/2018,COD,84930565,Haut-Katanga,Sakania,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Haut-Katanga,Sakania,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Haut-Katanga,Mitwaba,current,8/1/2018,6/30/2019,all,304676,1
6/1/2018,COD,84930565,Haut-Katanga,Mitwaba,current,8/1/2018,6/30/2019,3+,164525,0.54
6/1/2018,COD,84930565,Haut-Katanga,Mitwaba,current,8/1/2018,6/30/2019,1,33514,0.11
6/1/2018,COD,84930565,Haut-Katanga,Mitwaba,current,8/1/2018,6/30/2019,2,106637,0.35
6/1/2018,COD,84930565,Haut-Katanga,Mitwaba,current,8/1/2018,6/30/2019,3,85309,0.28
6/1/2018,COD,84930565,Haut-Katanga,Mitwaba,current,8/1/2018,6/30/2019,4,79216,0.26
6/1/2018,COD,84930565,Haut-Katanga,Mitwaba,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Haut-Katanga,Pweto,current,8/1/2018,6/30/2019,all,591359,1
6/1/2018,COD,84930565,Haut-Katanga,Pweto,current,8/1/2018,6/30/2019,3+,295680,0.5
6/1/2018,COD,84930565,Haut-Katanga,Pweto,current,8/1/2018,6/30/2019,1,136013,0.23
6/1/2018,COD,84930565,Haut-Katanga,Pweto,current,8/1/2018,6/30/2019,2,159667,0.27
6/1/2018,COD,84930565,Haut-Katanga,Pweto,current,8/1/2018,6/30/2019,3,165581,0.28
6/1/2018,COD,84930565,Haut-Katanga,Pweto,current,8/1/2018,6/30/2019,4,130099,0.22
6/1/2018,COD,84930565,Haut-Katanga,Pweto,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Bas Uélé,Aketi,current,8/1/2018,6/30/2019,all,211455,1
6/1/2018,COD,84930565,Bas Uélé,Aketi,current,8/1/2018,6/30/2019,3+,10573,0.05
6/1/2018,COD,84930565,Bas Uélé,Aketi,current,8/1/2018,6/30/2019,1,25375,0.12
6/1/2018,COD,84930565,Bas Uélé,Aketi,current,8/1/2018,6/30/2019,2,175508,0.83
6/1/2018,COD,84930565,Bas Uélé,Aketi,current,8/1/2018,6/30/2019,3,10573,0.05
6/1/2018,COD,84930565,Bas Uélé,Aketi,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Bas Uélé,Aketi,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Bas Uélé,Bambesa,current,8/1/2018,6/30/2019,all,128122,1
6/1/2018,COD,84930565,Bas Uélé,Bambesa,current,8/1/2018,6/30/2019,3+,5125,0.04
6/1/2018,COD,84930565,Bas Uélé,Bambesa,current,8/1/2018,6/30/2019,1,12812,0.1
6/1/2018,COD,84930565,Bas Uélé,Bambesa,current,8/1/2018,6/30/2019,2,110185,0.86
6/1/2018,COD,84930565,Bas Uélé,Bambesa,current,8/1/2018,6/30/2019,3,5125,0.04
6/1/2018,COD,84930565,Bas Uélé,Bambesa,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Bas Uélé,Bambesa,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Bas Uélé,Ango,current,8/1/2018,6/30/2019,all,106635,1
6/1/2018,COD,84930565,Bas Uélé,Ango,current,8/1/2018,6/30/2019,3+,10664,0.1
6/1/2018,COD,84930565,Bas Uélé,Ango,current,8/1/2018,6/30/2019,1,8531,0.08
6/1/2018,COD,84930565,Bas Uélé,Ango,current,8/1/2018,6/30/2019,2,87441,0.82
6/1/2018,COD,84930565,Bas Uélé,Ango,current,8/1/2018,6/30/2019,3,10664,0.1
6/1/2018,COD,84930565,Bas Uélé,Ango,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Bas Uélé,Ango,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Bas Uélé,Bondo,current,8/1/2018,6/30/2019,all,258979,1
6/1/2018,COD,84930565,Bas Uélé,Bondo,current,8/1/2018,6/30/2019,3+,20718,0.08
6/1/2018,COD,84930565,Bas Uélé,Bondo,current,8/1/2018,6/30/2019,1,31077,0.12
6/1/2018,COD,84930565,Bas Uélé,Bondo,current,8/1/2018,6/30/2019,2,207183,0.8
6/1/2018,COD,84930565,Bas Uélé,Bondo,current,8/1/2018,6/30/2019,3,20718,0.08
6/1/2018,COD,84930565,Bas Uélé,Bondo,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Bas Uélé,Bondo,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Bas Uélé,Buta,current,8/1/2018,6/30/2019,all,269125,1
6/1/2018,COD,84930565,Bas Uélé,Buta,current,8/1/2018,6/30/2019,3+,8074,0.03
6/1/2018,COD,84930565,Bas Uélé,Buta,current,8/1/2018,6/30/2019,1,75355,0.28
6/1/2018,COD,84930565,Bas Uélé,Buta,current,8/1/2018,6/30/2019,2,185696,0.69
6/1/2018,COD,84930565,Bas Uélé,Buta,current,8/1/2018,6/30/2019,3,8074,0.03
6/1/2018,COD,84930565,Bas Uélé,Buta,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Bas Uélé,Buta,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Bas Uélé,Poko,current,8/1/2018,6/30/2019,all,230961,1
6/1/2018,COD,84930565,Bas Uélé,Poko,current,8/1/2018,6/30/2019,3+,9238,0.04
6/1/2018,COD,84930565,Bas Uélé,Poko,current,8/1/2018,6/30/2019,1,25406,0.11
6/1/2018,COD,84930565,Bas Uélé,Poko,current,8/1/2018,6/30/2019,2,196317,0.85
6/1/2018,COD,84930565,Bas Uélé,Poko,current,8/1/2018,6/30/2019,3,9238,0.04
6/1/2018,COD,84930565,Bas Uélé,Poko,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Bas Uélé,Poko,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Tshopo,Bafwasende,current,8/1/2018,6/30/2019,all,213244,1
6/1/2018,COD,84930565,Tshopo,Bafwasende,current,8/1/2018,6/30/2019,3+,21324,0.1
6/1/2018,COD,84930565,Tshopo,Bafwasende,current,8/1/2018,6/30/2019,1,40516,0.19
6/1/2018,COD,84930565,Tshopo,Bafwasende,current,8/1/2018,6/30/2019,2,151403,0.71
6/1/2018,COD,84930565,Tshopo,Bafwasende,current,8/1/2018,6/30/2019,3,21324,0.1
6/1/2018,COD,84930565,Tshopo,Bafwasende,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Tshopo,Bafwasende,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Tshopo,Basoko,current,8/1/2018,6/30/2019,all,346401,1
6/1/2018,COD,84930565,Tshopo,Basoko,current,8/1/2018,6/30/2019,3+,45032,0.13
6/1/2018,COD,84930565,Tshopo,Basoko,current,8/1/2018,6/30/2019,1,86600,0.25
6/1/2018,COD,84930565,Tshopo,Basoko,current,8/1/2018,6/30/2019,2,214769,0.62
6/1/2018,COD,84930565,Tshopo,Basoko,current,8/1/2018,6/30/2019,3,45032,0.13
6/1/2018,COD,84930565,Tshopo,Basoko,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Tshopo,Basoko,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Tshopo,Yahuma,current,8/1/2018,6/30/2019,all,184977,1
6/1/2018,COD,84930565,Tshopo,Yahuma,current,8/1/2018,6/30/2019,3+,44394,0.24
6/1/2018,COD,84930565,Tshopo,Yahuma,current,8/1/2018,6/30/2019,1,33296,0.18
6/1/2018,COD,84930565,Tshopo,Yahuma,current,8/1/2018,6/30/2019,2,107287,0.58
6/1/2018,COD,84930565,Tshopo,Yahuma,current,8/1/2018,6/30/2019,3,44394,0.24
6/1/2018,COD,84930565,Tshopo,Yahuma,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Tshopo,Yahuma,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Tshopo,Ubundu,current,8/1/2018,6/30/2019,all,316321,1
6/1/2018,COD,84930565,Tshopo,Ubundu,current,8/1/2018,6/30/2019,3+,37959,0.12
6/1/2018,COD,84930565,Tshopo,Ubundu,current,8/1/2018,6/30/2019,1,66427,0.21
6/1/2018,COD,84930565,Tshopo,Ubundu,current,8/1/2018,6/30/2019,2,211935,0.67
6/1/2018,COD,84930565,Tshopo,Ubundu,current,8/1/2018,6/30/2019,3,37959,0.12
6/1/2018,COD,84930565,Tshopo,Ubundu,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Tshopo,Ubundu,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Tshopo,Banalia,current,8/1/2018,6/30/2019,all,260554,1
6/1/2018,COD,84930565,Tshopo,Banalia,current,8/1/2018,6/30/2019,3+,15633,0.06
6/1/2018,COD,84930565,Tshopo,Banalia,current,8/1/2018,6/30/2019,1,75561,0.29
6/1/2018,COD,84930565,Tshopo,Banalia,current,8/1/2018,6/30/2019,2,169360,0.65
6/1/2018,COD,84930565,Tshopo,Banalia,current,8/1/2018,6/30/2019,3,15633,0.06
6/1/2018,COD,84930565,Tshopo,Banalia,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Tshopo,Banalia,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Tshopo,Isangi,current,8/1/2018,6/30/2019,all,571929,1
6/1/2018,COD,84930565,Tshopo,Isangi,current,8/1/2018,6/30/2019,3+,85789,0.15
6/1/2018,COD,84930565,Tshopo,Isangi,current,8/1/2018,6/30/2019,1,120105,0.21
6/1/2018,COD,84930565,Tshopo,Isangi,current,8/1/2018,6/30/2019,2,366035,0.64
6/1/2018,COD,84930565,Tshopo,Isangi,current,8/1/2018,6/30/2019,3,85789,0.15
6/1/2018,COD,84930565,Tshopo,Isangi,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Tshopo,Isangi,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Kasai,Ilebo,current,8/1/2018,6/30/2019,all,544488,1
6/1/2018,COD,84930565,Kasai,Ilebo,current,8/1/2018,6/30/2019,3+,299468,0.55
6/1/2018,COD,84930565,Kasai,Ilebo,current,8/1/2018,6/30/2019,1,81673,0.15
6/1/2018,COD,84930565,Kasai,Ilebo,current,8/1/2018,6/30/2019,2,163346,0.3
6/1/2018,COD,84930565,Kasai,Ilebo,current,8/1/2018,6/30/2019,3,217795,0.4
6/1/2018,COD,84930565,Kasai,Ilebo,current,8/1/2018,6/30/2019,4,81673,0.15
6/1/2018,COD,84930565,Kasai,Ilebo,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Kasai,Kamonia,current,8/1/2018,6/30/2019,all,2038277,1
6/1/2018,COD,84930565,Kasai,Kamonia,current,8/1/2018,6/30/2019,3+,1222966,0.6
6/1/2018,COD,84930565,Kasai,Kamonia,current,8/1/2018,6/30/2019,1,407655,0.2
6/1/2018,COD,84930565,Kasai,Kamonia,current,8/1/2018,6/30/2019,2,407655,0.2
6/1/2018,COD,84930565,Kasai,Kamonia,current,8/1/2018,6/30/2019,3,815311,0.4
6/1/2018,COD,84930565,Kasai,Kamonia,current,8/1/2018,6/30/2019,4,407655,0.2
6/1/2018,COD,84930565,Kasai,Kamonia,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Kasai,Luebo,current,8/1/2018,6/30/2019,all,412663,1
6/1/2018,COD,84930565,Kasai,Luebo,current,8/1/2018,6/30/2019,3+,247597,0.6
6/1/2018,COD,84930565,Kasai,Luebo,current,8/1/2018,6/30/2019,1,0,0
6/1/2018,COD,84930565,Kasai,Luebo,current,8/1/2018,6/30/2019,2,165065,0.4
6/1/2018,COD,84930565,Kasai,Luebo,current,8/1/2018,6/30/2019,3,185698,0.45
6/1/2018,COD,84930565,Kasai,Luebo,current,8/1/2018,6/30/2019,4,61899,0.15
6/1/2018,COD,84930565,Kasai,Luebo,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Kasai,Mweka,current,8/1/2018,6/30/2019,all,815616,1
6/1/2018,COD,84930565,Kasai,Mweka,current,8/1/2018,6/30/2019,3+,407808,0.5
6/1/2018,COD,84930565,Kasai,Mweka,current,8/1/2018,6/30/2019,1,163123,0.2
6/1/2018,COD,84930565,Kasai,Mweka,current,8/1/2018,6/30/2019,2,244685,0.3
6/1/2018,COD,84930565,Kasai,Mweka,current,8/1/2018,6/30/2019,3,244685,0.3
6/1/2018,COD,84930565,Kasai,Mweka,current,8/1/2018,6/30/2019,4,163123,0.2
6/1/2018,COD,84930565,Kasai,Mweka,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Kasai Central,Demba,current,8/1/2018,6/30/2019,all,756494,1
6/1/2018,COD,84930565,Kasai Central,Demba,current,8/1/2018,6/30/2019,3+,226948,0.3
6/1/2018,COD,84930565,Kasai Central,Demba,current,8/1/2018,6/30/2019,1,75649,0.1
6/1/2018,COD,84930565,Kasai Central,Demba,current,8/1/2018,6/30/2019,2,453896,0.6
6/1/2018,COD,84930565,Kasai Central,Demba,current,8/1/2018,6/30/2019,3,151299,0.2
6/1/2018,COD,84930565,Kasai Central,Demba,current,8/1/2018,6/30/2019,4,75649,0.1
6/1/2018,COD,84930565,Kasai Central,Demba,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Kasai Central,Dibaya,current,8/1/2018,6/30/2019,all,575123,1
6/1/2018,COD,84930565,Kasai Central,Dibaya,current,8/1/2018,6/30/2019,3+,172537,0.3
6/1/2018,COD,84930565,Kasai Central,Dibaya,current,8/1/2018,6/30/2019,1,86268,0.15
6/1/2018,COD,84930565,Kasai Central,Dibaya,current,8/1/2018,6/30/2019,2,316318,0.55
6/1/2018,COD,84930565,Kasai Central,Dibaya,current,8/1/2018,6/30/2019,3,143781,0.25
6/1/2018,COD,84930565,Kasai Central,Dibaya,current,8/1/2018,6/30/2019,4,28756,0.05
6/1/2018,COD,84930565,Kasai Central,Dibaya,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Kasai Central,Dimbelenge,current,8/1/2018,6/30/2019,all,315411,1
6/1/2018,COD,84930565,Kasai Central,Dimbelenge,current,8/1/2018,6/30/2019,3+,126165,0.4
6/1/2018,COD,84930565,Kasai Central,Dimbelenge,current,8/1/2018,6/30/2019,1,31541,0.1
6/1/2018,COD,84930565,Kasai Central,Dimbelenge,current,8/1/2018,6/30/2019,2,157706,0.5
6/1/2018,COD,84930565,Kasai Central,Dimbelenge,current,8/1/2018,6/30/2019,3,78853,0.25
6/1/2018,COD,84930565,Kasai Central,Dimbelenge,current,8/1/2018,6/30/2019,4,47312,0.15
6/1/2018,COD,84930565,Kasai Central,Dimbelenge,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Kasai Central,Kazumba,current,8/1/2018,6/30/2019,all,902807,1
6/1/2018,COD,84930565,Kasai Central,Kazumba,current,8/1/2018,6/30/2019,3+,225701,0.25
6/1/2018,COD,84930565,Kasai Central,Kazumba,current,8/1/2018,6/30/2019,1,180561,0.2
6/1/2018,COD,84930565,Kasai Central,Kazumba,current,8/1/2018,6/30/2019,2,496544,0.55
6/1/2018,COD,84930565,Kasai Central,Kazumba,current,8/1/2018,6/30/2019,3,180561,0.2
6/1/2018,COD,84930565,Kasai Central,Kazumba,current,8/1/2018,6/30/2019,4,45140,0.05
6/1/2018,COD,84930565,Kasai Central,Kazumba,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Kasai Central,Luiza,current,8/1/2018,6/30/2019,all,838893,1
6/1/2018,COD,84930565,Kasai Central,Luiza,current,8/1/2018,6/30/2019,3+,209724,0.25
6/1/2018,COD,84930565,Kasai Central,Luiza,current,8/1/2018,6/30/2019,1,167779,0.2
6/1/2018,COD,84930565,Kasai Central,Luiza,current,8/1/2018,6/30/2019,2,461391,0.55
6/1/2018,COD,84930565,Kasai Central,Luiza,current,8/1/2018,6/30/2019,3,167779,0.2
6/1/2018,COD,84930565,Kasai Central,Luiza,current,8/1/2018,6/30/2019,4,41945,0.05
6/1/2018,COD,84930565,Kasai Central,Luiza,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Sud-Kivu,Fizi,current,8/1/2018,6/30/2019,all,799967,1
6/1/2018,COD,84930565,Sud-Kivu,Fizi,current,8/1/2018,6/30/2019,3+,199991,0.25
6/1/2018,COD,84930565,Sud-Kivu,Fizi,current,8/1/2018,6/30/2019,1,239990,0.3
6/1/2018,COD,84930565,Sud-Kivu,Fizi,current,8/1/2018,6/30/2019,2,359985,0.45
6/1/2018,COD,84930565,Sud-Kivu,Fizi,current,8/1/2018,6/30/2019,3,159993,0.2
6/1/2018,COD,84930565,Sud-Kivu,Fizi,current,8/1/2018,6/30/2019,4,39998,0.05
6/1/2018,COD,84930565,Sud-Kivu,Fizi,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Sud-Kivu,Kabare,current,8/1/2018,6/30/2019,all,813457,1
6/1/2018,COD,84930565,Sud-Kivu,Kabare,current,8/1/2018,6/30/2019,3+,40673,0.05
6/1/2018,COD,84930565,Sud-Kivu,Kabare,current,8/1/2018,6/30/2019,1,284710,0.35
6/1/2018,COD,84930565,Sud-Kivu,Kabare,current,8/1/2018,6/30/2019,2,488074,0.6
6/1/2018,COD,84930565,Sud-Kivu,Kabare,current,8/1/2018,6/30/2019,3,40673,0.05
6/1/2018,COD,84930565,Sud-Kivu,Kabare,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Sud-Kivu,Kabare,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Sud-Kivu,Idjwi,current,8/1/2018,6/30/2019,all,269837,1
6/1/2018,COD,84930565,Sud-Kivu,Idjwi,current,8/1/2018,6/30/2019,3+,13492,0.05
6/1/2018,COD,84930565,Sud-Kivu,Idjwi,current,8/1/2018,6/30/2019,1,121427,0.45
6/1/2018,COD,84930565,Sud-Kivu,Idjwi,current,8/1/2018,6/30/2019,2,134919,0.5
6/1/2018,COD,84930565,Sud-Kivu,Idjwi,current,8/1/2018,6/30/2019,3,13492,0.05
6/1/2018,COD,84930565,Sud-Kivu,Idjwi,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Sud-Kivu,Idjwi,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Sud-Kivu,Kalehe,current,8/1/2018,6/30/2019,all,802950,1
6/1/2018,COD,84930565,Sud-Kivu,Kalehe,current,8/1/2018,6/30/2019,3+,160591,0.2
6/1/2018,COD,84930565,Sud-Kivu,Kalehe,current,8/1/2018,6/30/2019,1,281033,0.35
6/1/2018,COD,84930565,Sud-Kivu,Kalehe,current,8/1/2018,6/30/2019,2,361328,0.45
6/1/2018,COD,84930565,Sud-Kivu,Kalehe,current,8/1/2018,6/30/2019,3,120443,0.15
6/1/2018,COD,84930565,Sud-Kivu,Kalehe,current,8/1/2018,6/30/2019,4,40148,0.05
6/1/2018,COD,84930565,Sud-Kivu,Kalehe,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Sud-Kivu,Mwenga,current,8/1/2018,6/30/2019,all,712983,1
6/1/2018,COD,84930565,Sud-Kivu,Mwenga,current,8/1/2018,6/30/2019,3+,85558,0.12
6/1/2018,COD,84930565,Sud-Kivu,Mwenga,current,8/1/2018,6/30/2019,1,249544,0.35
6/1/2018,COD,84930565,Sud-Kivu,Mwenga,current,8/1/2018,6/30/2019,2,377881,0.53
6/1/2018,COD,84930565,Sud-Kivu,Mwenga,current,8/1/2018,6/30/2019,3,85558,0.12
6/1/2018,COD,84930565,Sud-Kivu,Mwenga,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Sud-Kivu,Mwenga,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Sud-Kivu,Shabunda,current,8/1/2018,6/30/2019,all,640330,1
6/1/2018,COD,84930565,Sud-Kivu,Shabunda,current,8/1/2018,6/30/2019,3+,160083,0.25
6/1/2018,COD,84930565,Sud-Kivu,Shabunda,current,8/1/2018,6/30/2019,1,192099,0.3
6/1/2018,COD,84930565,Sud-Kivu,Shabunda,current,8/1/2018,6/30/2019,2,288149,0.45
6/1/2018,COD,84930565,Sud-Kivu,Shabunda,current,8/1/2018,6/30/2019,3,128066,0.2
6/1/2018,COD,84930565,Sud-Kivu,Shabunda,current,8/1/2018,6/30/2019,4,32017,0.05
6/1/2018,COD,84930565,Sud-Kivu,Shabunda,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Sud-Kivu,Uvira,current,8/1/2018,6/30/2019,all,815573,1
6/1/2018,COD,84930565,Sud-Kivu,Uvira,current,8/1/2018,6/30/2019,3+,40779,0.05
6/1/2018,COD,84930565,Sud-Kivu,Uvira,current,8/1/2018,6/30/2019,1,326229,0.4
6/1/2018,COD,84930565,Sud-Kivu,Uvira,current,8/1/2018,6/30/2019,2,448565,0.55
6/1/2018,COD,84930565,Sud-Kivu,Uvira,current,8/1/2018,6/30/2019,3,40779,0.05
6/1/2018,COD,84930565,Sud-Kivu,Uvira,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Sud-Kivu,Uvira,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Sud-Kivu,Walungu,current,8/1/2018,6/30/2019,all,895546,1
6/1/2018,COD,84930565,Sud-Kivu,Walungu,current,8/1/2018,6/30/2019,3+,44777,0.05
6/1/2018,COD,84930565,Sud-Kivu,Walungu,current,8/1/2018,6/30/2019,1,402996,0.45
6/1/2018,COD,84930565,Sud-Kivu,Walungu,current,8/1/2018,6/30/2019,2,447773,0.5
6/1/2018,COD,84930565,Sud-Kivu,Walungu,current,8/1/2018,6/30/2019,3,44777,0.05
6/1/2018,COD,84930565,Sud-Kivu,Walungu,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Sud-Kivu,Walungu,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Lomami,Kabinda,current,8/1/2018,6/30/2019,all,689902,1
6/1/2018,COD,84930565,Lomami,Kabinda,current,8/1/2018,6/30/2019,3+,68990,0.1
6/1/2018,COD,84930565,Lomami,Kabinda,current,8/1/2018,6/30/2019,1,289759,0.42
6/1/2018,COD,84930565,Lomami,Kabinda,current,8/1/2018,6/30/2019,2,331153,0.48
6/1/2018,COD,84930565,Lomami,Kabinda,current,8/1/2018,6/30/2019,3,68990,0.1
6/1/2018,COD,84930565,Lomami,Kabinda,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Lomami,Kabinda,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Lomami,Luilu,current,8/1/2018,6/30/2019,all,894672,1
6/1/2018,COD,84930565,Lomami,Luilu,current,8/1/2018,6/30/2019,3+,125254,0.14
6/1/2018,COD,84930565,Lomami,Luilu,current,8/1/2018,6/30/2019,1,447336,0.5
6/1/2018,COD,84930565,Lomami,Luilu,current,8/1/2018,6/30/2019,2,322082,0.36
6/1/2018,COD,84930565,Lomami,Luilu,current,8/1/2018,6/30/2019,3,89467,0.1
6/1/2018,COD,84930565,Lomami,Luilu,current,8/1/2018,6/30/2019,4,35787,0.04
6/1/2018,COD,84930565,Lomami,Luilu,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Lomami,Kamiji,current,8/1/2018,6/30/2019,all,102328,1
6/1/2018,COD,84930565,Lomami,Kamiji,current,8/1/2018,6/30/2019,3+,35814,0.35
6/1/2018,COD,84930565,Lomami,Kamiji,current,8/1/2018,6/30/2019,1,25582,0.25
6/1/2018,COD,84930565,Lomami,Kamiji,current,8/1/2018,6/30/2019,2,40931,0.4
6/1/2018,COD,84930565,Lomami,Kamiji,current,8/1/2018,6/30/2019,3,30698,0.3
6/1/2018,COD,84930565,Lomami,Kamiji,current,8/1/2018,6/30/2019,4,5116,0.05
6/1/2018,COD,84930565,Lomami,Kamiji,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Lomami,Lubao,current,8/1/2018,6/30/2019,all,559281,1
6/1/2018,COD,84930565,Lomami,Lubao,current,8/1/2018,6/30/2019,3+,61521,0.11
6/1/2018,COD,84930565,Lomami,Lubao,current,8/1/2018,6/30/2019,1,257269,0.46
6/1/2018,COD,84930565,Lomami,Lubao,current,8/1/2018,6/30/2019,2,240491,0.43
6/1/2018,COD,84930565,Lomami,Lubao,current,8/1/2018,6/30/2019,3,61521,0.11
6/1/2018,COD,84930565,Lomami,Lubao,current,8/1/2018,6/30/2019,4,0,0
6/1/2018,COD,84930565,Lomami,Lubao,current,8/1/2018,6/30/2019,5,0,0
6/1/2018,COD,84930565,Lomami,Ngandajika,current,8/1/2018,6/30/2019,all,796170,1
6/1/2018,COD,84930565,Lomami,Ngandajika,current,8/1/2018,6/30/2019,3+,87579,0.11
6/1/2018,COD,84930565,Lomami,Ngandajika,current,8/1/2018,6/30/2019,1,167196,0.21
6/1/2018,COD,84930565,Lomami,Ngandajika,current,8/1/2018,6/30/2019,2,541396,0.68
6/1/2018,COD,84930565,Lomami,Ngandajika,current,8/1/2018,6/30/2019,3,87579,0.11
