Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
4/1/2023,COD,109569000,Tshuapa,Bokungu,projected,1/1/2023,6/30/2023,1,117294,0.2
4/1/2023,COD,109569000,Tshuapa,Bokungu,projected,1/1/2023,6/30/2023,2,293235,0.5
4/1/2023,COD,109569000,Tshuapa,Bokungu,projected,1/1/2023,6/30/2023,3,146617,0.25
4/1/2023,COD,109569000,Tshuapa,Bokungu,projected,1/1/2023,6/30/2023,4,29323,0.05
4/1/2023,COD,109569000,Tshuapa,Bokungu,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Tshuapa,Ikela,projected,1/1/2023,6/30/2023,all,329335,1
4/1/2023,COD,109569000,Tshuapa,Ikela,projected,1/1/2023,6/30/2023,3+,98799,0.3
4/1/2023,COD,109569000,Tshuapa,Ikela,projected,1/1/2023,6/30/2023,1,82333,0.25
4/1/2023,COD,109569000,Tshuapa,Ikela,projected,1/1/2023,6/30/2023,2,148200,0.45
4/1/2023,COD,109569000,Tshuapa,Ikela,projected,1/1/2023,6/30/2023,3,82333,0.25
4/1/2023,COD,109569000,Tshuapa,Ikela,projected,1/1/2023,6/30/2023,4,16466,0.05
4/1/2023,COD,109569000,Tshuapa,Ikela,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Ituri,Djugu,projected,1/1/2023,6/30/2023,all,1412361,1
4/1/2023,COD,109569000,Ituri,Djugu,projected,1/1/2023,6/30/2023,3+,776798,0.55
4/1/2023,COD,109569000,Ituri,Djugu,projected,1/1/2023,6/30/2023,1,211854,0.15
4/1/2023,COD,109569000,Ituri,Djugu,projected,1/1/2023,6/30/2023,2,423708,0.3
4/1/2023,COD,109569000,Ituri,Djugu,projected,1/1/2023,6/30/2023,3,494326,0.35
4/1/2023,COD,109569000,Ituri,Djugu,projected,1/1/2023,6/30/2023,4,282472,0.2
4/1/2023,COD,109569000,Ituri,Djugu,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Ituri,Irumu,projected,1/1/2023,6/30/2023,all,447390,1
4/1/2023,COD,109569000,Ituri,Irumu,projected,1/1/2023,6/30/2023,3+,178955,0.4
4/1/2023,COD,109569000,Ituri,Irumu,projected,1/1/2023,6/30/2023,1,67108,0.15
4/1/2023,COD,109569000,Ituri,Irumu,projected,1/1/2023,6/30/2023,2,201325,0.45
4/1/2023,COD,109569000,Ituri,Irumu,projected,1/1/2023,6/30/2023,3,156586,0.35
4/1/2023,COD,109569000,Ituri,Irumu,projected,1/1/2023,6/30/2023,4,22369,0.05
4/1/2023,COD,109569000,Ituri,Irumu,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Ituri,Mahagi,projected,1/1/2023,6/30/2023,all,1087689,1
4/1/2023,COD,109569000,Ituri,Mahagi,projected,1/1/2023,6/30/2023,3+,489459,0.45
4/1/2023,COD,109569000,Ituri,Mahagi,projected,1/1/2023,6/30/2023,1,108768,0.1
4/1/2023,COD,109569000,Ituri,Mahagi,projected,1/1/2023,6/30/2023,2,489460,0.45
4/1/2023,COD,109569000,Ituri,Mahagi,projected,1/1/2023,6/30/2023,3,435075,0.4
4/1/2023,COD,109569000,Ituri,Mahagi,projected,1/1/2023,6/30/2023,4,54384,0.05
4/1/2023,COD,109569000,Ituri,Mahagi,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Ituri,Aru,projected,1/1/2023,6/30/2023,all,778580,1
4/1/2023,COD,109569000,Ituri,Aru,projected,1/1/2023,6/30/2023,3+,116787,0.15
4/1/2023,COD,109569000,Ituri,Aru,projected,1/1/2023,6/30/2023,1,272503,0.35
4/1/2023,COD,109569000,Ituri,Aru,projected,1/1/2023,6/30/2023,2,389290,0.5
4/1/2023,COD,109569000,Ituri,Aru,projected,1/1/2023,6/30/2023,3,77858,0.1
4/1/2023,COD,109569000,Ituri,Aru,projected,1/1/2023,6/30/2023,4,38929,0.05
4/1/2023,COD,109569000,Ituri,Aru,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Ituri,Mambasa,projected,1/1/2023,6/30/2023,all,292581,1
4/1/2023,COD,109569000,Ituri,Mambasa,projected,1/1/2023,6/30/2023,3+,131661,0.45
4/1/2023,COD,109569000,Ituri,Mambasa,projected,1/1/2023,6/30/2023,1,58516,0.2
4/1/2023,COD,109569000,Ituri,Mambasa,projected,1/1/2023,6/30/2023,2,102403,0.35
4/1/2023,COD,109569000,Ituri,Mambasa,projected,1/1/2023,6/30/2023,3,102403,0.35
4/1/2023,COD,109569000,Ituri,Mambasa,projected,1/1/2023,6/30/2023,4,29258,0.1
4/1/2023,COD,109569000,Ituri,Mambasa,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Haut-Katanga,Kambove,projected,1/1/2023,6/30/2023,all,394608,1
4/1/2023,COD,109569000,Haut-Katanga,Kambove,projected,1/1/2023,6/30/2023,3+,39460,0.1
4/1/2023,COD,109569000,Haut-Katanga,Kambove,projected,1/1/2023,6/30/2023,1,98652,0.25
4/1/2023,COD,109569000,Haut-Katanga,Kambove,projected,1/1/2023,6/30/2023,2,256495,0.65
4/1/2023,COD,109569000,Haut-Katanga,Kambove,projected,1/1/2023,6/30/2023,3,39460,0.1
4/1/2023,COD,109569000,Haut-Katanga,Kambove,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Haut-Katanga,Kambove,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Haut-Katanga,Kasenga,projected,1/1/2023,6/30/2023,all,438979,1
4/1/2023,COD,109569000,Haut-Katanga,Kasenga,projected,1/1/2023,6/30/2023,3+,87795,0.2
4/1/2023,COD,109569000,Haut-Katanga,Kasenga,projected,1/1/2023,6/30/2023,1,87795,0.2
4/1/2023,COD,109569000,Haut-Katanga,Kasenga,projected,1/1/2023,6/30/2023,2,263387,0.6
4/1/2023,COD,109569000,Haut-Katanga,Kasenga,projected,1/1/2023,6/30/2023,3,87795,0.2
4/1/2023,COD,109569000,Haut-Katanga,Kasenga,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Haut-Katanga,Kasenga,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Haut-Katanga,Kipushi,projected,1/1/2023,6/30/2023,all,342569,1
