Random_ID,WORRIED,HEALTHY,FEWFOOD,SKIPPED,ATELESS,RUNOUT,HUNGRY,WHLDAY,wt,year,N_adults,N_child,Raw_score,Raw_score_par,Raw_score_par_error,Prob_Mod_Sev,Prob_sev,Age,Education,Area,Gender
133381246,1,1,1,1,0,1,0,0,.6705,2020,05,02,5,.853854679816141,.960733840625401,.887491674885726,.143791743739794,22,Secondary,Towns/Rural,Male
116294748,1,1,1,1,0,1,1,1,1.1067,2020,10+,06,7,2.8574209055801,1.34735900352858,.99066794157314,.7669221841951051,45,Elementary_or_less,Towns/Rural,Male
180087249,1,1,1,0,0,0,0,0,.4627,2020,08,04,3,-.6046624297919,.9476819923115239,.378649207172142,.0044337548457961,25,Secondary,Towns/Rural,Male
136716286,1,1,1,0,1,0,0,0,.0495,2020,04,03,4,.126058164938327,.929306211903251,.681239122381297,.0298798332078331,25,College,Urban/Suburbs,Female
193155649,1,1,1,1,1,1,0,1,.5951,2020,03,01,7,2.8574209055801,1.34735900352858,.99066794157314,.7669221841951051,30,College,Urban/Suburbs,Male
164051346,1,1,1,1,1,1,1,1,.4051,2020,02,02,8,4.49978025615947,1.78440668629484,.996495952835501,.929307653358724,27,Secondary,Towns/Rural,Male
125972502,1,1,1,1,1,1,1,1,.5760999999999999,2020,02,00,8,4.49978025615947,1.78440668629484,.996495952835501,.929307653358724,30,Secondary,Towns/Rural,Female
197108330,1,0,1,1,1,1,1,1,.2297,2020,03,00,7,2.8574209055801,1.34735900352858,.99066794157314,.7669221841951051,50,Secondary,Towns/Rural,Male
201456408,1,0,0,1,1,0,0,1,.2102,2020,03,04,4,.126058164938327,.929306211903251,.681239122381297,.0298798332078331,41,College,Towns/Rural,Male
113456469,0,0,0,0,1,0,0,0,.7673,2020,01,00,1,-2.53169462982636,1.33073701427257,.047641054506747,.0004633705923494,20,Secondary,Urban/Suburbs,Male
184943039,1,1,1,1,1,1,1,1,.5063,2020,10+,10+,8,4.49978025615947,1.78440668629484,.996495952835501,.929307653358724,27,Secondary,Towns/Rural,Male
